Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_IDA,Expected Probability Collision
"[[146  39], [159  54], [172  69], [177  89], [168 104], [156 128], [138 148], [116 159], [ 94 168], [ 85 164], [ 82 162], [ 80 160], [ 67 156]]",146,39,67,156,13,209.7981,0.9184,0.8024,0.7109
"[[94  8], [88 11], [67 27], [63 62], [68 88], [ 72 104], [ 75 132], [ 73 152]]",94,8,73,152,8,159.5656,0.931,0.8912,0.8352
"[[ 94 168], [ 89 153], [ 83 135], [ 74 114], [ 69 101], [76 82]]",94,168,76,82,6,91.8092,0.4286,0.3292,0.0047
"[[156  57], [166  58], [172  69], [177  89], [168 104], [156 128], [144 130], [128 117], [129 102], [130  69]]",156,57,130,69,10,168.3505,0.8649,0.7487,0.7459
"[[ 67 144], [ 80 137], [ 83 135], [ 92 129], [104 123], [128 117], [138 128], [156 128], [168 104], [175  90]]",67,144,175,90,10,142.6934,0.4595,0.4909,0.4095
"[[172  72], [167  59], [166  58], [146  39], [126  25]]",172,72,126,25,5,67.3419,0.4118,0.3907,0.3732
"[[ 54 152], [ 63 145], [ 80 137], [ 83 135], [ 92 129], [104 123], [128 117], [138 128], [156 128], [168 104], [177  89], [172  69], [159  54]]",54,152,159,54,13,200.424,0.5102,0.6132,0.6016
"[[ 77 136], [ 89 129], [104 123], [128 117], [138 128], [156 128], [159 120], [166 100], [169  94], [171  88]]",77,136,171,88,10,130.419,1.0,0.9031,0.4915
"[[132  27], [137  31], [159  54], [179  72]]",132,27,179,72,4,65.138,0.3846,0.2596,0.2364
"[[71 65], [64 52], [67 27], [82 15], [90 16], [119  28], [138  39], [159  54], [167  59]]",71,65,167,59,9,155.796,0.9091,0.8246,0.6146
"[[107  28], [106  26], [94 10], [75 21], [67 27], [64 52], [60 68], [55 92], [ 60 118], [ 58 145]]",107,28,58,145,10,173.928,1.0,0.8973,0.8285
"[[ 83 135], [ 74 114], [ 69 101], [77 83], [91 65], [96 62]]",83,135,96,62,6,85.1079,0.3333,0.3385,0.1359
"[[149 156], [127 172]]",149,156,127,172,2,27.2029,0.0,0.005,0.074
"[[ 70 126], [ 80 123], [104 123], [128 117], [138 128], [156 128], [159 120]]",70,126,159,120,7,100.589,1.0,0.8885,0.3275
"[[ 83 111], [ 74 114], [ 60 118], [ 41 137], [ 40 139]]",83,111,40,139,5,53.1532,0.0,0.0233,0.0457
"[[ 75 117], [ 91 123], [104 123], [128 117], [138 128], [156 128], [168 104], [177  89], [172  69], [167  61], [163  52], [158  37]]",75,117,158,37,12,187.7281,0.7333,0.6778,0.5691
"[[52 58], [63 62], [83 66], [113  77]]",52,58,113,77,4,64.0539,0.2308,0.1837,0.0608
"[[ 74 114], [ 91 123], [104 123], [128 117], [138 128], [156 128], [159 120]]",74,114,159,120,7,98.3841,1.0,0.8985,0.3275
"[[138 148], [142 139], [139 132], [128 117], [104 123], [ 83 111], [ 72 104], [70 93]]",138,148,70,93,8,109.2099,0.8276,0.7838,0.5738
"[[44 86], [67 80], [89 79], [117  90], [122 105]]",44,86,122,105,5,91.6871,0.8235,0.801,0.2835
"[[123 179], [127 171], [138 148], [142 139], [139 132], [128 117], [127 107], [123  86]]",123,179,123,86,8,101.9325,0.6207,0.6165,0.5443
"[[ 29 117], [ 37 120], [ 60 118], [ 80 123], [104 123], [128 117], [138 128], [156 128], [159 120], [166 100], [169  94], [171  88]]",29,117,171,88,12,176.6174,1.0,0.9031,0.4915
"[[ 44 115], [ 60 118], [ 80 123], [103 131]]",44,115,103,131,4,61.2459,0.0,0.0146,0.0546
"[[ 85 136], [ 83 135], [ 76 128], [ 64 109], [40 97]]",85,136,40,97,5,61.4406,0.1176,0.1357,0.1128
"[[ 67 110], [66 96], [63 62], [67 27], [75 21], [86  0]]",67,110,86,0,6,117.1021,0.6667,0.7107,0.6875
"[[116 108], [123 114], [128 117], [138 128], [142 139], [138 148], [127 171], [123 179], [121 187], [123 194]]",116,108,123,194,10,101.4358,0.7297,0.6832,0.5273
"[[ 76 163], [ 94 168], [112 165], [124 167]]",76,163,124,167,4,49.0954,0.2308,0.1432,0.0738
"[[68 21], [106  26], [138  39], [152  51], [172  69], [177  89], [168 104]]",68,21,168,104,7,156.3221,0.56,0.6791,0.6674
"[[133  83], [125  79], [118  74], [91 65], [84 62], [64 52]]",133,83,64,52,6,75.9835,0.0952,0.1023,0.1183
"[[ 64 109], [ 72 126], [ 75 132], [ 80 160]]",64,109,80,160,4,53.9394,0.0,0.0106,0.0181
"[[118 106], [117  90], [89 79], [77 83]]",118,106,77,83,4,58.7635,0.6154,0.5789,0.0835